Age,Income,Expenses,Savings,InvestmentAmount,Goal,Duration,Risk,Recommendation
39,134530,13978,120552,15799,House Purchase,25,Low,Fixed Deposit
45,83843,39305,44538,10489,House Purchase,2,Low,Fixed Deposit
48,131557,42377,89180,12926,House Purchase,17,Medium,Balanced Fund
35,99558,51624,47934,3061,Wealth Creation,16,Medium,Mutual Fund
59,149158,36674,112484,24418,Retirement,2,High,Mutual Fund
44,39777,27772,12005,5703,Wealth Creation,3,Medium,Mutual Fund
38,60212,37907,22305,15368,House Purchase,5,Low,Fixed Deposit
59,28280,19625,8655,5792,Child Education,11,Low,Mutual Fund
45,61465,32017,29448,6320,Retirement,14,Medium,Mutual Fund
50,55176,10779,44397,8754,Emergency Fund,8,Low,Fixed Deposit
27,106305,45683,60622,8391,House Purchase,3,High,Mutual Fund
31,136559,119420,17139,9735,Child Education,7,Medium,Balanced Fund
53,46359,10934,35425,9444,Child Education,14,Low,Mutual Fund
24,105280,91740,13540,6689,Retirement,19,Medium,Mutual Fund
27,95051,47707,47344,13580,House Purchase,24,High,Mutual Fund
43,128902,26192,102710,23552,Child Education,24,Low,Mutual Fund
47,40766,31111,9655,7472,Emergency Fund,23,Medium,Mutual Fund
40,53807,17640,36167,9208,Retirement,7,High,Mutual Fund
47,40940,28100,12840,12655,Child Education,9,Low,Mutual Fund
29,149212,111256,37956,23184,House Purchase,9,Low,Fixed Deposit
39,77431,64309,13122,5912,Emergency Fund,5,Medium,Mutual Fund
52,90284,19075,71209,24610,Child Education,4,Low,Mutual Fund
48,86917,54908,32009,16268,Wealth Creation,13,Low,Mutual Fund
34,82941,67373,15568,2844,Retirement,23,Low,Government Bonds
28,37298,25987,11311,5831,Wealth Creation,25,Low,Mutual Fund
41,121660,89655,32005,18649,Wealth Creation,3,High,Stocks
52,110616,31418,79198,18909,Emergency Fund,9,High,Gold ETF
47,105388,20190,85198,12497,Emergency Fund,7,High,Gold ETF
46,106561,65320,41241,2593,Emergency Fund,11,High,Gold ETF
41,79633,45676,33957,11974,House Purchase,7,Medium,Balanced Fund
51,58762,51073,7689,5069,Child Education,17,Low,Mutual Fund
49,46743,39357,7386,6725,Retirement,17,High,Mutual Fund
46,96138,47055,49083,20902,Emergency Fund,17,High,Gold ETF
55,49696,43184,6512,3408,House Purchase,21,High,Mutual Fund
50,63095,13432,49663,12897,House Purchase,16,High,Mutual Fund
55,105008,85348,19660,13992,Child Education,4,Low,Mutual Fund
47,67626,36181,31445,7333,Emergency Fund,9,Medium,Mutual Fund
39,134705,45192,89513,21574,Retirement,8,Medium,Mutual Fund
41,92249,20767,71482,16950,Wealth Creation,16,Low,Mutual Fund
32,139735,97226,42509,11326,Retirement,25,Medium,Mutual Fund
36,95219,57296,37923,21532,Child Education,16,Low,Mutual Fund
43,146032,28179,117853,7938,Child Education,23,Medium,Balanced Fund
40,116373,97709,18664,3785,House Purchase,17,Low,Fixed Deposit
35,123617,101674,21943,19058,Wealth Creation,9,Low,Mutual Fund
40,134055,69592,64463,9808,Emergency Fund,22,Low,Fixed Deposit
25,119029,24486,94543,11607,Child Education,5,High,Mutual Fund
43,139957,56374,83583,16918,Emergency Fund,14,Medium,Mutual Fund
45,145353,68942,76411,23275,Wealth Creation,19,Medium,Mutual Fund
32,74848,54510,20338,14842,Retirement,4,Low,Government Bonds
49,130256,105109,25147,10830,Emergency Fund,3,Medium,Mutual Fund
46,116000,45426,70574,21655,House Purchase,14,Medium,Balanced Fund
42,69840,49572,20268,3816,Child Education,12,High,Mutual Fund
37,93264,74595,18669,16743,Wealth Creation,25,Medium,Mutual Fund
22,26508,11821,14687,13464,Child Education,8,Medium,Balanced Fund
24,87137,49192,37945,8598,Wealth Creation,6,Low,Mutual Fund
39,40194,15443,24751,16675,Child Education,19,Medium,Balanced Fund
54,143029,83996,59033,11107,Wealth Creation,10,High,Stocks
29,131426,12271,119155,2685,Emergency Fund,23,Low,Fixed Deposit
25,102043,29402,72641,13446,House Purchase,18,Low,Fixed Deposit
41,141079,135836,5243,2253,Emergency Fund,25,Low,Fixed Deposit
38,29916,21310,8606,4359,Emergency Fund,3,Medium,Mutual Fund
31,147414,63404,84010,10516,House Purchase,17,Medium,Balanced Fund
56,106996,74867,32129,5627,House Purchase,21,High,Mutual Fund
45,73089,51393,21696,3758,House Purchase,13,Low,Fixed Deposit
36,55557,14972,40585,21394,Retirement,23,Low,Government Bonds
37,86556,15554,71002,9475,Retirement,5,Low,Government Bonds
56,30142,19757,10385,6267,Retirement,21,Low,Government Bonds
40,44481,10206,34275,20801,Wealth Creation,17,High,Stocks
31,94826,14663,80163,6261,Emergency Fund,21,High,Gold ETF
25,60809,52315,8494,2389,Child Education,11,Medium,Balanced Fund
33,37344,16445,20899,10233,Wealth Creation,12,Low,Mutual Fund
50,69802,11740,58062,16924,Child Education,3,Low,Mutual Fund
53,75359,40731,34628,5837,Retirement,9,Low,Government Bonds
53,32041,10930,21111,10469,Wealth Creation,12,Medium,Mutual Fund
36,104523,30517,74006,5299,Child Education,22,Low,Mutual Fund
42,109874,52609,57265,12731,Emergency Fund,7,Low,Fixed Deposit
26,139578,100315,39263,4014,Wealth Creation,21,High,Stocks
45,65663,38263,27400,21747,Retirement,18,Medium,Mutual Fund
25,71819,62673,9146,8932,Child Education,8,Low,Mutual Fund
